Breakdown,ttm,3/31/2019
Net Income,300004,537050
Depreciation & amortization,-,635290
Change in working capital,-,-225319
Inventory,-,1262
Other working capital,-,-324346
Other non-cash items,-,18457
Net cash provided by operating activites,-,1164712
Investments in property plant and equipment,-,-1489058
Acquisitions net,-,-167794
Sales/Maturities of investments,-,500000
Other investing activites,-,-62975
Net cash used for investing activites,-,-1215713
Net change in cash,-,-264473
Cash at beginning of period,-,12179203
Cash at end of period,-,11914730
Operating Cash Flow,-,1164712
Capital Expenditure,-,-1489058
Free Cash Flow,-,-324346
