Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1897214,11601858,8059744,19732045
Depreciation & amortization,-,6247093,5852146,1774457
Change in working capital,-,-2157380,-6839914,-1316580
Inventory,-,-1098940,-2575722,-513559
Other working capital,-,-6154118,-212585,3401765
Other non-cash items,-,-731293,1292394,-13737239
Net cash provided by operating activites,-,15121877,9233727,7225701
Investments in property plant and equipment,-,-21275995,-9446312,-3823936
Acquisitions net,-,-1321400,0,-28705438
Purchases of investments,-,-349857,-1186506,-2017527
Sales/Maturities of investments,-,255466,2456733,2024598
Other investing activites,-,-26221,2108,-2329
Net cash used for investing activites,-,-22399586,-8171070,-32522695
Net change in cash,-,-10720420,18651942,-770309
Cash at beginning of period,-,28320807,9668865,10439174
Cash at end of period,-,17600386,28320807,9668865
Operating Cash Flow,-,15121877,9233727,7225701
Capital Expenditure,-,-21275995,-9446312,-3823936
Free Cash Flow,-,-6154118,-212585,3401765
