Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1700515,1970445,1903458,1420758
Depreciation & amortization,-,629077,625546,632647
Change in working capital,-,-671260,-16819,-164210
Inventory,-,-310607,-152632,-136163
Other working capital,-,599966,2247028,1120327
Other non-cash items,-,60386,-207365,11196
Net cash provided by operating activites,-,1868843,2910385,1894838
Investments in property plant and equipment,-,-1268877,-663357,-774511
Purchases of investments,-,-404000,-,-
Sales/Maturities of investments,-,432000,-,-
Other investing activites,-,-142394,5542,-19284
Net cash used for investing activites,-,-1383049,-657438,-787412
Net change in cash,-,-87663,1683800,600747
Cash at beginning of period,-,5897214,4213414,3444288
Cash at end of period,-,5809551,5897214,4213414
Operating Cash Flow,-,1868843,2910385,1894838
Capital Expenditure,-,-1268877,-663357,-774511
Free Cash Flow,-,599966,2247028,1120327
