Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5096000,4584000,3542000,2197000
Depreciation & amortization,-,203000,198000,190000
Change in working capital,-,856000,-380000,-1173000
Inventory,-,395000,1254000,-1170000
Other working capital,-,6532000,4158000,1864000
Other non-cash items,-,140000,-154000,110000
Net cash provided by operating activites,-,7028000,4380000,2243000
Investments in property plant and equipment,-,-496000,-222000,-379000
Acquisitions net,-,-,-1381000,-
Purchases of investments,-,-1911000,-4833000,-7340000
Sales/Maturities of investments,-,1459000,5015000,7276000
Other investing activites,-,-23000,-8000,-56000
Net cash used for investing activites,-,-970000,-1429000,-464000
Net change in cash,-,4823000,1763000,958000
Cash at beginning of period,-,9357000,7593000,6634000
Cash at end of period,-,14180000,9357000,7593000
Operating Cash Flow,-,7028000,4380000,2243000
Capital Expenditure,-,-496000,-222000,-379000
Free Cash Flow,-,6532000,4158000,1864000
