Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,593086,584500,563040,461646
Liabilities,,,,
Total Liabilities,527711,517854,490015,388461
Stockholders' Equity,,,,
Common Stock,52,54,58,57
Retained Earnings,24989,23498,23641,23370
Accumulated other comprehensive income,-,-,0,-122
Total stockholders' equity,65375,66646,73025,73185
Total liabilities and stockholders' equity,593086,584500,563040,461646
