Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-49100,-59300,-54400,-49100,-52343
Acquisitions net,-,-,-,-836600,-
Net cash used for investing activites,-48900,-59100,-54000,-885500,-52001
Debt repayment,-,-,-,-,-30000
Common stock issued,1200,1900,3000,395900,5955
Common stock repurchased,-,-8800,-,-9200,-13225
Dividends Paid,-163200,-157400,-151600,-119100,-93205
Other financing activites,-,-,-800,-1700,-90
Net cash used privided by (used for) financing activities,-297100,-195400,-239100,715900,-130565
Net change in cash,-40200,47100,-1000,21000,2574
Cash at beginning of period,117100,72000,72800,51900,49131
Cash at end of period,76900,119200,72000,72800,51884
Capital Expenditure,-49100,-59300,-54400,-49100,-52343
Free Cash Flow,256700,242300,237700,141500,132797
