Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1009,-827.161,-1160,-306.998,-2050
Net cash used for investing activites,-712.462,-827.161,-1160,-306.998,-2050
Debt repayment,-,-100,-1400,-,-
Common stock issued,-,-,2082,1433,625
Common stock repurchased,-6.065,-26.762,-13.757,-38.749,-
Net cash used privided by (used for) financing activities,593.935,-126.762,2168,1394,625
Net change in cash,-502.776,-1328,393.259,603.042,-1778
Cash at beginning of period,844.958,1879,1486,882.66,2661
Cash at end of period,342.182,550.895,1879,1486,882.66
Capital Expenditure,-1009,-827.161,-1160,-306.998,-2050
Free Cash Flow,-1394,-1201,-1775,-791.18,-2403
