Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-198.964,-229.991,-217.079,-,-
Acquisitions net,-,-,-10999,-,-
Net cash used for investing activites,-198.964,-229.991,-11216,-,-
Common stock issued,-,209,13000,453.764,3865
Common stock repurchased,-,-16.652,-231.625,-,-
Net cash used privided by (used for) financing activities,-,192.348,12768,453.764,3865
Net change in cash,-2315,-1994,352.338,-519.309,2864
Cash at beginning of period,2463,3251,2944,3460,587.398
Cash at end of period,148.112,1562,3251,2944,3460
Capital Expenditure,-198.964,-229.991,-217.079,-,-
Free Cash Flow,-2845,-2187,-1417,-973.073,-1001
