Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,69350000,67591000,63985000,68614000
Selling General and Administrative,43436000,41618000,43366000,43355000
Total Operating Expenses,52214000,56270000,48882000,49120000
Interest Expense,3368000,3930000,3817000,3738000
Income Before Tax,14757000,15467000,18015000,16779000
Income Tax Expense,5403000,4293000,4854000,4270000
Income from Continuing Operations,9354000,11174000,13161000,12509000
Net Income,9354000,11174000,13160000,12508000
Net Income available to common shareholders,9354000,11174000,13160000,12508000
Basic EPS,-,342.79,418.05,466.05
Diluted EPS,-,342.47,417.63,465.51
Basic Average Shares,-,32598,31480,26838
Diluted Average Shares,-,32628,31511,26869
