Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2371019,2338016,1682534
Liabilities,,,
Total Liabilities,1666440,1634268,1339198
Stockholders' Equity,,,
Common Stock,0,0,0
Retained Earnings,11637,56205,-124552
Total stockholders' equity,704578,703748,343337
Total liabilities and stockholders' equity,2371019,2338016,1682534
