Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-285.075,-220.484,-546.132,-452.262,-1389
Sales/Maturities of investments,-,-,-,99.592,61.318
Other investing activites,-,-111.936,-587.756,-174.088,172.754
Net cash used for investing activites,-280.575,-327.495,-1131,-526.758,-1155
Common stock issued,-,297.04,2617,3232,1733
Net cash used privided by (used for) financing activities,-,297.04,2617,3232,1733
Net change in cash,-447.768,-1517,-455.298,1035,-588.326
Cash at beginning of period,766.896,1744,2200,1164,1753
Cash at end of period,319.128,227.736,1744,2200,1164
Capital Expenditure,-285.075,-220.484,-546.132,-452.262,-1389
Free Cash Flow,-1541,-1707,-2488,-2122,-2555
