Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1048908,1101970,1167674,1335772
Depreciation & amortization,-,719574,801926,883776
Change in working capital,-,1076766,245315,-565121
Inventory,-,52086,-177088,615074
Other working capital,-,2784291,1557873,1007334
Other non-cash items,-,261073,-17106,-95254
Net cash provided by operating activites,-,3305453,2081610,1839657
Investments in property plant and equipment,-,-521162,-523737,-832323
Purchases of investments,-,-21345,-5233,-4828
Sales/Maturities of investments,-,21000,-,76732
Other investing activites,-,-7658,1948,-5473
Net cash used for investing activites,-,-533988,-389247,-714430
Net change in cash,-,2041754,594295,941324
Cash at beginning of period,-,5532822,4938527,3997203
Cash at end of period,-,7574577,5532822,4938527
Operating Cash Flow,-,3305453,2081610,1839657
Capital Expenditure,-,-521162,-523737,-832323
Free Cash Flow,-,2784291,1557873,1007334
