Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-1246,-1246
Acquisitions net,-520.405,-520.405
Purchases of investments,-30,-30
Net cash used for investing activites,-1737,-1737
Common stock issued,4501,4501
Common stock repurchased,-268.677,-268.677
Net cash used privided by (used for) financing activities,4232,4232
Net change in cash,1603,1603
Cash at beginning of period,52.337,52.337
Cash at end of period,1628,1628
Capital Expenditure,-1246,-1246
Free Cash Flow,-2139,-2139
