Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,7878,7878,7278,6589
Interest Expense,925,925,729,655
Income Before Tax,1045,1045,1708,2155
Income Tax Expense,85,85,295,982
Income from Continuing Operations,960,960,1413,1173
Net Income,960,960,1413,1173
Net Income available to common shareholders,960,960,1413,1173
Basic EPS,-,-,0.41,0.34
Diluted EPS,-,-,0.41,0.34
Basic Average Shares,-,-,3410,3447
Diluted Average Shares,-,-,3410,3447
