Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2802,-2950,-3394,-3953,-3334
Acquisitions net,-,-,-646,-,554
Purchases of investments,-,-,-646,-,-
Net cash used for investing activites,-2795,-2943,-4040,-3953,-2767
Dividends Paid,-12625,-15705,-11009,-13627,-10316
Other financing activites,-436,-178,-451,-255,-422
Net cash used privided by (used for) financing activities,-13061,-15883,-11460,-13882,-10738
Net change in cash,-8971,-7150,-7347,33416,-6687
Cash at beginning of period,16273,128348,135695,102279,108966
Cash at end of period,7302,121198,128348,135695,102279
Capital Expenditure,-2802,-2950,-3394,-3953,-3334
Free Cash Flow,4083,8726,4759,47298,3484
