Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-2790,-2790
Sales/Maturities of investments,6500,6500
Net cash used for investing activites,3710,3710
Common stock issued,15000,15000
Common stock repurchased,-999,-999
Dividends Paid,-8,-8
Net cash used privided by (used for) financing activities,13993,13993
Net change in cash,14994,14994
Cash at beginning of period,5043,5043
Cash at end of period,20037,20037
Capital Expenditure,-2790,-2790
Free Cash Flow,-5499,-5499
