Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,538744,674837,463072,361539
Depreciation & amortization,-,133368,126917,119929
Change in working capital,-,-427079,-374620,-62350
Inventory,-,-663915,-344431,21446
Other working capital,-,130718,347124,41705
Other non-cash items,-,-3914,53844,-52451
Net cash provided by operating activites,-,330482,387530,264928
Investments in property plant and equipment,-,-199764,-40406,-223223
Purchases of investments,-,-69972,-49728,-47588
Sales/Maturities of investments,-,27672,16498,120359
Other investing activites,-,1688,-26248,-15378
Net cash used for investing activites,-,-238873,-99694,95457
Net change in cash,-,91573,16745,297742
Cash at beginning of period,-,1674472,1657727,1359985
Cash at end of period,-,1766046,1674472,1657727
Operating Cash Flow,-,330482,387530,264928
Capital Expenditure,-,-199764,-40406,-223223
Free Cash Flow,-,130718,347124,41705
