Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,178779,229069,654221,259056
Depreciation & amortization,-,53507,50707,43806
Change in working capital,-,-163942,6868,52805
Inventory,-,-22547,-24482,-1880
Other working capital,-,-32796,184055,-40553
Other non-cash items,-,-29215,-22902,-48868
Net cash provided by operating activites,-,-7660,213175,307012
Investments in property plant and equipment,-,-25136,-29120,-347565
Acquisitions net,-,-11471,-,-
Purchases of investments,-,-81576,-111576,-5788
Sales/Maturities of investments,-,-,38438,49805
Other investing activites,-,-1706,-416,20727
Net cash used for investing activites,-,-116015,907108,-269546
Net change in cash,-,-326652,223521,214522
Cash at beginning of period,-,1488058,1264537,1050014
Cash at end of period,-,1161405,1488058,1264537
Operating Cash Flow,-,-7660,213175,307012
Capital Expenditure,-,-25136,-29120,-347565
Free Cash Flow,-,-32796,184055,-40553
