Breakdown,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016
Net Income,91395,91395,-10297,101332,20213
Change in working capital,4459,4459,-3692,3994,-1427
Other working capital,-1505,-1505,28055,13645,8198
Other non-cash items,3729,3729,-1565,-1105,41
Net cash provided by operating activites,-1505,-1505,28055,13645,8198
Net change in cash,-3679,-3679,21100,7609,3189
Cash at beginning of period,34081,34081,13048,5509,2344
Cash at end of period,30398,30398,34081,13048,5509
Operating Cash Flow,-1505,-1505,28055,13645,8198
Free Cash Flow,-1505,-1505,28055,13645,8198
