Breakdown,ttm,6/30/2019
Total Revenue,10993,10993
Gross Profit,10993,10993
Selling General and Administrative,11755,11755
Total Operating Expenses,22518,22518
Operating Income or Loss,-11525,-11525
Interest Expense,2742,2742
Total Other Income/Expenses Net,-415.194,-415.194
Income Before Tax,-14682,-14682
Income Tax Expense,0,0
Income from Continuing Operations,-14682,-14682
Net Income,-14682,-14682
Net Income available to common shareholders,-14682,-14682
