Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,28854000,31943000,35261000,23054000
Depreciation & amortization,15090000,10969000,10896000,9882000
Change in working capital,-6167000,-6310000,-2569000,-10234000
Inventory,-2705000,-5000000,-1435000,-4120000
Other working capital,28909000,24561000,32906000,1343000
Other non-cash items,3002000,1416000,1379000,2093000
Net cash provided by operating activites,37562000,32894000,42843000,10843000
Investments in property plant and equipment,-8653000,-8333000,-9937000,-9500000
Acquisitions net,-,-,-,-19064000
Purchases of investments,-313000,-931000,-565000,-478000
Sales/Maturities of investments,3747000,2156000,2879000,1383000
Other investing activites,949000,-165000,-636000,-546000
Net cash used for investing activites,-4270000,-2935000,-8259000,-28201000
Net change in cash,7665000,1852000,16953000,-46015000
Cash at beginning of period,75394000,69283000,52282000,99798000
Cash at end of period,83058000,70796000,69283000,52282000
Operating Cash Flow,37562000,32894000,42843000,10843000
Capital Expenditure,-8653000,-8333000,-9937000,-9500000
Free Cash Flow,28909000,24561000,32906000,1343000
