Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,35848000,30197000,33553000,33252000
Depreciation & amortization,10007000,9526000,9677000,9801000
Change in working capital,-2169000,-6816000,1183000,-4323000
Inventory,-2954000,-3123000,788000,-1342000
Other working capital,39508000,27009000,36512000,34104000
Other non-cash items,385000,3582000,-876000,2603000
Net cash provided by operating activites,49798000,37603000,43427000,41803000
Investments in property plant and equipment,-10290000,-10594000,-6915000,-7699000
Acquisitions net,-,-,-813000,-
Purchases of investments,-76292000,-71496000,-98315000,-33267000
Sales/Maturities of investments,77404000,70154000,48246000,24856000
Other investing activites,-1063000,-792000,402000,-1191000
Net cash used for investing activites,-8629000,-11349000,-57068000,-17219000
Net change in cash,31474000,16026000,-25639000,10357000
Cash at beginning of period,72136000,62470000,87990000,77392000
Cash at end of period,104104000,78496000,62470000,87990000
Operating Cash Flow,49798000,37603000,43427000,41803000
Capital Expenditure,-10290000,-10594000,-6915000,-7699000
Free Cash Flow,39508000,27009000,36512000,34104000
