Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,312235,431845,624194,595450
Depreciation & amortization,-,262024,250949,240117
Stock based compensation,-,13525,9196,9570
Change in working capital,-,223562,-133659,-468034
Inventory,-,-45795,-193371,-44521
Other working capital,-,502336,263911,-30166
Other non-cash items,-,-37061,-37136,27249
Net cash provided by operating activites,-,908504,707036,345587
Investments in property plant and equipment,-,-406168,-443125,-375753
Acquisitions net,-,-,-73675,-78837
Sales/Maturities of investments,-,7104,-,23952
Other investing activites,-,-2867,-3231,10186
Net cash used for investing activites,-,-341203,-492013,-419436
Net change in cash,-,204836,309816,-152916
Cash at beginning of period,-,671812,361995,514911
Cash at end of period,-,876649,671812,361995
Operating Cash Flow,-,908504,707036,345587
Capital Expenditure,-,-406168,-443125,-375753
Free Cash Flow,-,502336,263911,-30166
