Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4650000,4263000,5490000,4770000
Depreciation & amortization,738000,672000,525000,463000
Change in working capital,2293000,1394000,628000,-118000
Inventory,-127000,-86000,-139000,1083000
Other working capital,7554000,5375000,3610000,2432000
Other non-cash items,-112000,-145000,16000,88000
Net cash provided by operating activites,7887000,5864000,7072000,4682000
Investments in property plant and equipment,-333000,-489000,-3462000,-2250000
Acquisitions net,-,-243000,-,-
Purchases of investments,-19000,-73000,-17000,-17000
Sales/Maturities of investments,-,-,10000,0
Other investing activites,-40000,-57000,-70000,-39000
Net cash used for investing activites,-544000,-601000,-3805000,-2299000
Net change in cash,3701000,4209000,3778000,-786000
Cash at beginning of period,32642000,35986000,32207000,32993000
Cash at end of period,36338000,40195000,35986000,32207000
Operating Cash Flow,7887000,5864000,7072000,4682000
Capital Expenditure,-333000,-489000,-3462000,-2250000
Free Cash Flow,7554000,5375000,3610000,2432000
