Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,23541000,13933000,9697000,7001000
Depreciation & amortization,11714000,10310000,9898000,10191000
Change in working capital,-6782000,873000,-2372000,-3053000
Inventory,-7490000,-2407000,634000,-3630000
Other working capital,802000,9939000,10321000,2971000
Other non-cash items,-4498000,-1545000,713000,-1034000
Net cash provided by operating activites,13939000,23377000,20178000,12350000
Investments in property plant and equipment,-13137000,-13438000,-9857000,-9379000
Purchases of investments,-570000,-25000,-180000,-38000
Sales/Maturities of investments,6773000,4102000,247000,1320000
Other investing activites,-373000,-236000,27000,6994000
Net cash used for investing activites,7766000,-8363000,-9698000,-1071000
Net change in cash,1972000,-486000,253000,-472000
Cash at beginning of period,7772000,6475000,6222000,6695000
Cash at end of period,9803000,5989000,6475000,6222000
Operating Cash Flow,13939000,23377000,20178000,12350000
Capital Expenditure,-13137000,-13438000,-9857000,-9379000
Free Cash Flow,802000,9939000,10321000,2971000
