Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,5380049000,5405415000,5330234000,5162489000
Interest Expense,17609000,17039000,13418000,12208000
Total Other Income/Expenses Net,126702000,113105000,139364000,138020000
Income Before Tax,380022000,385733000,337553000,386962000
Income Tax Expense,98565000,110013000,51217000,111383000
Income from Continuing Operations,281457000,275720000,286336000,275579000
Net Income,279615000,274579000,284183000,273856000
Net Income available to common shareholders,279615000,274579000,284183000,273856000
Basic EPS,-,383.01,382.83,363.52
Diluted EPS,-,382.69,382.47,363.19
Basic Average Shares,-,716886,742316,753333
Diluted Average Shares,-,717497,743020,754030
