Breakdown,ttm,3/31/2017
Net Income,19395,19395
Depreciation & amortization,33885,33885
Change in working capital,20148,20148
Inventory,4502,4502
Other working capital,45141,45141
Other non-cash items,23367,23367
Net cash provided by operating activites,84793,84793
Investments in property plant and equipment,-39652,-39652
Other investing activites,-5277,-5277
Net cash used for investing activites,-55523,-55523
Net change in cash,130601,130601
Cash at beginning of period,84337,84337
Cash at end of period,214938,214938
Operating Cash Flow,84793,84793
Capital Expenditure,-39652,-39652
Free Cash Flow,45141,45141
