Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6410,-5209,-4765,-2634,-1430
Net cash used for investing activites,-6410,-5209,-4765,-2634,-1430
Common stock issued,6810,5739,13176,2466,3334
Common stock repurchased,-,-237.973,-791.501,-217.33,-128.511
Other financing activites,-,301.875,-,-,-
Net cash used privided by (used for) financing activities,8406,5803,12384,2248,3205
Net change in cash,-1118,-1693,6143,-952.416,991.796
Cash at beginning of period,6200,6413,269.259,1222,229.879
Cash at end of period,5082,4720,6413,269.259,1222
Capital Expenditure,-6410,-5209,-4765,-2634,-1430
Free Cash Flow,-9524,-7495,-6241,-3201,-2214
