Breakdown,ttm,3/31/2019
Net Income,-181496,-87635
Depreciation & amortization,-,283551
Change in working capital,-,-272843
Inventory,-,-115325
Other working capital,-,-143928
Other non-cash items,-,317013
Net cash provided by operating activites,-,190677
Investments in property plant and equipment,-,-334605
Acquisitions net,-,-188354
Purchases of investments,-,-21256
Other investing activites,-,-75287
Net cash used for investing activites,-,-743735
Net change in cash,-,-305882
Cash at beginning of period,-,936999
Cash at end of period,-,2789602
Operating Cash Flow,-,190677
Capital Expenditure,-,-334605
Free Cash Flow,-,-143928
