Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,812826,2022625,2198583,1943695
Depreciation & amortization,-,1165863,1447264,1220498
Change in working capital,-,669064,-1093603,290665
Inventory,-,146627,-683099,-937884
Other working capital,-,3651148,142505,1944206
Other non-cash items,-,465754,-449245,177496
Net cash provided by operating activites,-,4392596,1929574,3833940
Investments in property plant and equipment,-,-741448,-1787069,-1889734
Sales/Maturities of investments,-,-,64400,-
Other investing activites,-,-64605,-33327,-24281
Net cash used for investing activites,-,-796935,-1684559,-1904547
Net change in cash,-,1054579,357748,263963
Cash at beginning of period,-,1851033,1493284,1229320
Cash at end of period,-,2905612,1851033,1493284
Operating Cash Flow,-,4392596,1929574,3833940
Capital Expenditure,-,-741448,-1787069,-1889734
Free Cash Flow,-,3651148,142505,1944206
