Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-7034,-7363,-6401,-2473,-1567
Acquisitions net,-,-411.25,-2000,-1255,-1000
Other investing activites,-,-,-,143.366,-
Net cash used for investing activites,-7745,-7774,-8401,-3584,-2567
Common stock issued,1277,1093,2325,1103,421.128
Common stock repurchased,-20.943,-19.471,-51.83,-11.75,-
Dividends Paid,-2882,-3423,-,-,-
Other financing activites,-,-,-,-,-2000
Net cash used privided by (used for) financing activities,-3934,-2349,2273,1091,-1579
Net change in cash,6455,1507,6122,1569,-2842
Cash at beginning of period,15464,16959,10837,9267,12109
Cash at end of period,21920,18466,16959,10837,9267
Capital Expenditure,-7034,-7363,-6401,-2473,-1567
Free Cash Flow,11101,4268,5849,1590,-262.79
