Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,183666,183666,171238,113764,81469
Interest Expense,37866,37866,27248,13253,8753
Income Before Tax,80688,80688,62439,41526,25418
Income Tax Expense,17948,17948,12769,12961,7848
Income from Continuing Operations,62740,62740,49670,28565,17570
Net Income,62740,62740,49670,28565,17570
Net Income available to common shareholders,62740,62740,49670,28565,17570
Basic EPS,-,-,2.28,1.75,1.45
Diluted EPS,-,-,2.26,1.73,1.42
Basic Average Shares,-,-,21757,16318,12080
Diluted Average Shares,-,-,21973,16550,12352
