Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,842006,1075426,117746,746447
Depreciation & amortization,-,284008,269640,286785
Change in working capital,-,-154520,-370080,40533
Inventory,-,68265,-130445,-8459
Other working capital,-,557094,220880,733776
Other non-cash items,-,4816,104943,817
Net cash provided by operating activites,-,991496,647345,1095554
Investments in property plant and equipment,-,-434402,-426465,-361778
Acquisitions net,-,-541297,-,-
Purchases of investments,-,-3783423,-639466,-2890418
Sales/Maturities of investments,-,2390143,1869967,2091031
Other investing activites,-,19769,862594,-575945
Net cash used for investing activites,-,-1782899,1741262,-1050834
Net change in cash,-,-1241138,1800187,-798987
Cash at beginning of period,-,5323209,3523021,4362673
Cash at end of period,-,4082070,5323209,3523021
Operating Cash Flow,-,991496,647345,1095554
Capital Expenditure,-,-434402,-426465,-361778
Free Cash Flow,-,557094,220880,733776
