Breakdown,ttm,6/30/2019
Net cash used for investing activites,4845,24.412
Debt repayment,-,-300
Common stock issued,-,7383
Other financing activites,-,-300
Net cash used privided by (used for) financing activities,-,7083
Net change in cash,155.784,1559
Cash at beginning of period,563.328,1696
Cash at end of period,719.112,3255
Free Cash Flow,-4668,-5549
