Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-678.318,-1201,-294.77
Acquisitions net,-4779,-2569,-3850
Other investing activites,-,-,789.869
Net cash used for investing activites,-5000,-3770,-3342
Debt repayment,-4204,-4948,-122.797
Common stock issued,4569,8524,8128
Common stock repurchased,-130.49,-442,-872.99
Other financing activites,-1909,-1147,-
Net cash used privided by (used for) financing activities,3437,6132,7132
Net change in cash,-785.913,3303,3118
Cash at beginning of period,3597,3357,238.804
Cash at end of period,2811,6660,3357
Capital Expenditure,-678.318,-1201,-294.77
Free Cash Flow,98.57,-260,-966.573
