Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,129407,127322,117244,156567
Depreciation & amortization,-,385672,338959,331075
Change in working capital,-,-81316,131950,-121687
Inventory,-,-7585,69997,-60953
Other working capital,-,-8613,97415,-92264
Other non-cash items,-,13130,119103,79611
Net cash provided by operating activites,-,403485,632167,450424
Investments in property plant and equipment,-,-412098,-534752,-542688
Purchases of investments,-,-9243,-9091,-9441
Sales/Maturities of investments,-,94824,-,11815
Other investing activites,-,-9698,4516,744
Net cash used for investing activites,-,-323436,-520444,-519428
Net change in cash,-,-91962,53109,159923
Cash at beginning of period,-,1165438,1112329,952406
Cash at end of period,-,1073476,1165438,1112329
Operating Cash Flow,-,403485,632167,450424
Capital Expenditure,-,-412098,-534752,-542688
Free Cash Flow,-,-8613,97415,-92264
