Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-90.634,-,-,-958.649
Sales/Maturities of investments,-,278.26,-,55,-
Other investing activites,-,-,350,-349.419,-
Net cash used for investing activites,-180.461,187.626,350,-274.42,-958.649
Common stock issued,-,2426,-,1966,-
Common stock repurchased,-,-157.346,-,-126.33,-
Net cash used privided by (used for) financing activities,-,2269,-,1839,-
Net change in cash,-406.025,2299,-632.978,20.83,-1339
Cash at beginning of period,2817,340.716,973.694,952.864,2292
Cash at end of period,2411,2640,340.716,973.694,952.864
Capital Expenditure,-,-90.634,-,-,-958.649
Free Cash Flow,-404.097,-247.947,-982.978,-1544,-1339
