Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-32197,-40847,-29071,-31943,-31907
Acquisitions net,-,1446,-2444,-,-
Purchases of investments,-1065,-12632,-1063,-6179,-13913
Sales/Maturities of investments,-,20750,300,6500,-
Other investing activites,-909,-4359,-2192,-9804,-10973
Net cash used for investing activites,-26928,-35387,-29272,-58458,-56911
Debt repayment,-242407,-226427,-135000,-363204,-156923
Common stock issued,-,-,-,566,103
Common stock repurchased,-,-,-,-,-5627
Dividends Paid,-,-,-30161,-90444,-120850
Net cash used privided by (used for) financing activities,-166407,-126427,-50161,-107082,-191734
Net change in cash,-40510,-51708,72673,-25298,-47057
Cash at beginning of period,140076,142163,69490,94788,141845
Cash at end of period,99566,90455,142163,69490,94788
Capital Expenditure,-32197,-40847,-29071,-31943,-31907
Free Cash Flow,120628,69259,123035,108299,169681
