Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,17659029,16677219,8099915,7585262
Depreciation & amortization,-,2076190,2069760,2025420
Change in working capital,-,-1000900,-301487,-1509911
Inventory,-,-396271,-370862,-782047
Other working capital,-,6516499,7347012,5821695
Other non-cash items,-,-96268,-176715,5563
Net cash provided by operating activites,-,9704858,10173290,7805150
Investments in property plant and equipment,-,-3188359,-2826278,-1983455
Acquisitions net,-,-403329,-,-
Purchases of investments,-,-2006672,-1277249,-506490
Sales/Maturities of investments,-,500000,540000,587911
Other investing activites,-,-3,-5500000,200000
Net cash used for investing activites,-,-5036320,-8448977,-1711087
Net change in cash,-,2227080,-231328,4062674
Cash at beginning of period,-,17316304,17547632,13484958
Cash at end of period,-,19543385,17316304,17547632
Operating Cash Flow,-,9704858,10173290,7805150
Capital Expenditure,-,-3188359,-2826278,-1983455
Free Cash Flow,-,6516499,7347012,5821695
