Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1155383,2751136,3462373,3321938
Depreciation & amortization,-,696938,693168,679134
Change in working capital,-,946487,-6847046,3625631
Inventory,-,73626,20158,-4570
Other working capital,-,4286346,-3897011,6447098
Other non-cash items,-,26618,-11277,-12821
Net cash provided by operating activites,-,4837402,-3106942,8175648
Investments in property plant and equipment,-,-551056,-790069,-1728550
Acquisitions net,-,-19000,-,-
Purchases of investments,-,-879034,-463135,-39017
Sales/Maturities of investments,-,926140,70602,86520
Other investing activites,-,-169757,-35123,-12760
Net cash used for investing activites,-,-686138,-1290149,-1397893
Net change in cash,-,1507035,-6134016,5947030
Cash at beginning of period,-,8285386,14419402,8472373
Cash at end of period,-,9792421,8285386,14419403
Operating Cash Flow,-,4837402,-3106942,8175648
Capital Expenditure,-,-551056,-790069,-1728550
Free Cash Flow,-,4286346,-3897011,6447098
