Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4518000,5071000,6024000,4383000
Depreciation & amortization,-,715000,612000,608000
Change in working capital,-,-2280000,-6634000,6633000
Inventory,-,8000,86000,297000
Other working capital,-,2874000,-1159000,10897000
Other non-cash items,-,503000,291000,221000
Net cash provided by operating activites,-,4164000,989000,11335000
Investments in property plant and equipment,-,-1290000,-2148000,-438000
Acquisitions net,-,-,-928000,-72000
Purchases of investments,-,-12629000,-4914000,-2004000
Sales/Maturities of investments,-,12600000,3400000,2000000
Other investing activites,-,22000,60000,-321000
Net cash used for investing activites,-,-1233000,-4473000,-791000
Net change in cash,-,2227000,-3821000,10074000
Cash at beginning of period,-,20785000,24606000,14532000
Cash at end of period,-,23013000,20785000,24606000
Operating Cash Flow,-,4164000,989000,11335000
Capital Expenditure,-,-1290000,-2148000,-438000
Free Cash Flow,-,2874000,-1159000,10897000
