Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4366003,4201616,4136231,3932169
Liabilities,,,,
Total Liabilities,3751117,3637466,3605532,3431554
Stockholders' Equity,,,,
Common Stock,88966,88665,88465,88144
Retained Earnings,296760,258935,224268,195078
Accumulated other comprehensive income,4253,-6611,-3506,-2304
Total stockholders' equity,614886,564150,530699,500615
Total liabilities and stockholders' equity,4366003,4201616,4136231,3932169
