Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,172100,285400,121800,176800
Change in working capital,1900,1100,-100,600
Other working capital,149600,145200,130600,107000
Net cash provided by operating activites,149600,145200,130600,107000
Acquisitions net,-,-2600,-,-
Purchases of investments,-,-,-266700,-375700
Net cash used for investing activites,-,-2600,-266700,-375700
Net change in cash,3800,1800,-200,400
Cash at beginning of period,200,700,900,500
Cash at end of period,4000,2500,700,900
Operating Cash Flow,149600,145200,130600,107000
Free Cash Flow,149600,145200,130600,107000
