Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,4644000,4644000,3310000,2994000,2529000
Depreciation & amortization,473000,473000,160000,426000,286000
Change in working capital,-55000,-55000,340000,-360000,-143000
Inventory,11000,11000,191000,-12000,3000
Other working capital,4974000,4974000,4176000,3708000,1658000
Other non-cash items,-56000,-56000,164000,-115000,25000
Net cash provided by operating activites,5408000,5408000,4474000,3901000,2160000
Investments in property plant and equipment,-434000,-434000,-298000,-193000,-502000
Acquisitions net,-,-,-470000,-41000,-160000
Purchases of investments,-43000,-43000,-2211000,0,-122000
Sales/Maturities of investments,107000,107000,10000,-,-
Other investing activites,-28000,-28000,11000,47000,49000
Net cash used for investing activites,8000,8000,-2870000,-187000,-735000
Net change in cash,3344000,3344000,-904000,2409000,557000
Cash at beginning of period,8467000,8467000,9371000,6963000,6406000
Cash at end of period,11811000,11811000,8467000,9371000,6963000
Operating Cash Flow,5408000,5408000,4474000,3901000,2160000
Capital Expenditure,-434000,-434000,-298000,-193000,-502000
Free Cash Flow,4974000,4974000,4176000,3708000,1658000
