Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,0.711,-19.479,-,-,-
Purchases of investments,6.17,-13.52,-,-,-
Sales/Maturities of investments,-,-,6.081,-,-
Other investing activites,-,-,-,40,-
Net cash used for investing activites,6.881,-29.418,6.081,62.343,-72.752
Debt repayment,-159.304,-280.577,-,-,-
Common stock issued,-,-,5000,451,-
Net cash used privided by (used for) financing activities,-40.813,-277.478,5271,501,689
Net change in cash,-2412,-4064,5006,-63.474,16.105
Cash at beginning of period,2526,5007,1,64.474,48.369
Cash at end of period,113.313,943.251,5007,1,64.474
Capital Expenditure,0.711,-19.479,-,-,-
Free Cash Flow,-2378,-3776,-271.074,-626.817,-600.143
