Breakdown,ttm,3/31/2018,3/31/2017
Net Income,765508,-932203,-514102
Depreciation & amortization,-,1497714,1198027
Change in working capital,-,-3777085,339714
Inventory,-,9208,922
Other working capital,-,-5157793,-4218299
Other non-cash items,-,3092,-44858
Net cash provided by operating activites,-,-3039460,250442
Investments in property plant and equipment,-,-2118333,-4468741
Sales/Maturities of investments,-,1951724,36590
Other investing activites,-,-26734,-122940
Net cash used for investing activites,-,-187972,-4552320
Net change in cash,-,-3825930,-5054131
Cash at beginning of period,-,11841822,16895954
Cash at end of period,-,8015892,11841822
Operating Cash Flow,-,-3039460,250442
Capital Expenditure,-,-2118333,-4468741
Free Cash Flow,-,-5157793,-4218299
