Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1313,-2106,-1087,-1432,-1284
Purchases of investments,-,-0.479,-,-,-
Sales/Maturities of investments,-,-,0.52,26.929,-
Other investing activites,-,-,-,-,-14.234
Net cash used for investing activites,-1415,-2106,-1086,-1405,-1298
Debt repayment,-,-133.752,-255.962,-17.733,-
Common stock issued,663.8,2026,315,1627,967.211
Common stock repurchased,-3.248,-20.749,-,-,-
Net cash used privided by (used for) financing activities,1204,2571,1859,2209,1387
Net change in cash,-37.406,-127.082,227.886,-194.41,124.067
Cash at beginning of period,429.106,352.07,124.184,318.594,194.527
Cash at end of period,391.7,224.988,352.07,124.184,318.594
Capital Expenditure,-1313,-2106,-1087,-1432,-1284
Free Cash Flow,-1140,-2698,-1632,-2431,-1249
