Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,18723000,18951000,17890000,13153000
Depreciation & amortization,-,4166000,4182000,4151000
Change in working capital,-,-8242000,-3739000,-103000
Inventory,-,-1394000,-1569000,1496000
Other working capital,-,-730000,1450000,4732000
Other non-cash items,-,135000,165000,209000
Net cash provided by operating activites,-,16112000,19481000,19949000
Investments in property plant and equipment,-,-16842000,-18031000,-15217000
Acquisitions net,-,-27000,-119000,-137000
Purchases of investments,-,-30291000,-40342000,-54449000
Sales/Maturities of investments,-,32208000,46976000,48667000
Other investing activites,-,145000,143000,-196000
Net cash used for investing activites,-,-4075000,-48000,-9060000
Net change in cash,-,-505000,8802000,3889000
Cash at beginning of period,-,68640000,59837000,55947000
Cash at end of period,-,68134000,68640000,59837000
Operating Cash Flow,-,16112000,19481000,19949000
Capital Expenditure,-,-16842000,-18031000,-15217000
Free Cash Flow,-,-730000,1450000,4732000
