Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,121178000,125878000,125913000,128547000
Selling General and Administrative,82321000,81002000,85238000,85608000
Total Operating Expenses,90785000,88731000,92077000,92125000
Interest Expense,7423000,6074000,5087000,6327000
Income Before Tax,27103000,34054000,32422000,32422000
Income Tax Expense,8230000,10910000,10155000,9098000
Income from Continuing Operations,18873000,23144000,22267000,23324000
Net Income,18707000,22899000,21467000,22214000
Net Income available to common shareholders,18707000,22899000,21467000,22214000
Basic EPS,-,148.79,137.78,142.24
Diluted EPS,-,148.79,137.78,142.24
Basic Average Shares,-,153903,155811,156171
Diluted Average Shares,-,153903,155811,156171
