Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,22327,22243,21500,19935,18844
Interest Expense,6724,6710,4649,3773,3532
Income Before Tax,4088,4261,3501,2417,1755
Income Tax Expense,1224,1265,1471,994,664
Income from Continuing Operations,2864,2996,2030,1423,1091
Net Income,2864,2996,2030,1423,1091
Net Income available to common shareholders,2864,2996,2030,1423,1091
Basic EPS,-,0.51,0.35,0.24,0.19
Diluted EPS,-,0.51,0.35,0.24,0.19
Basic Average Shares,-,5875,5800,5929,5742
Diluted Average Shares,-,5875,5800,5929,5742
