Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-174172,-198954,-138348,-138506,-63103
Acquisitions net,-,-1765,-,-72671,-39423
Purchases of investments,-8696,-5869,-8414,-1853,-5760
Sales/Maturities of investments,-,170,74966,-,90229
Other investing activites,-,-,-1182,-,29
Net cash used for investing activites,-184669,-206418,-72978,-213030,-18028
Debt repayment,-,-,-50966,-5694,-307
Common stock issued,-,130532,200285,76991,66800
Common stock repurchased,-3960,-3806,-5233,-2089,-1685
Dividends Paid,-4567,-4344,-2816,-2611,-1256
Other financing activites,-1251,-1019,1254,-,-
Net cash used privided by (used for) financing activities,143805,164589,142524,147925,73914
Net change in cash,-2492,-42721,93922,-59724,61579
Cash at beginning of period,9681,98106,4184,63908,2329
Cash at end of period,7189,55385,98106,4184,63908
Capital Expenditure,-174172,-198954,-138348,-138506,-63103
Free Cash Flow,-135800,-199846,-113972,-133125,-57410
