Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,251000,209000,415000,487000
Depreciation & amortization,-,293000,239000,230000
Change in working capital,-,112000,897000,-359000
Inventory,-,-8000,-140000,-70000
Other working capital,-,259000,1512000,355000
Other non-cash items,-,68000,325000,2000
Net cash provided by operating activites,-,741000,1774000,539000
Investments in property plant and equipment,-,-482000,-262000,-184000
Acquisitions net,-,-,-143000,-
Purchases of investments,-,-159000,-488000,-262000
Sales/Maturities of investments,-,-,63000,59000
Other investing activites,-,-1000,18000,20000
Net cash used for investing activites,-,-526000,-812000,-367000
Net change in cash,-,47000,1058000,-436000
Cash at beginning of period,-,4495000,3437000,3873000
Cash at end of period,-,4542000,4495000,3437000
Operating Cash Flow,-,741000,1774000,539000
Capital Expenditure,-,-482000,-262000,-184000
Free Cash Flow,-,259000,1512000,355000
