Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1040876,2175722,2164761,1956980
Depreciation & amortization,-,1581757,1602711,1522460
Change in working capital,-,-1051139,217948,487684
Inventory,-,-180060,119232,-55463
Other working capital,-,-3204425,2708760,1123690
Other non-cash items,-,310863,178246,185417
Net cash provided by operating activites,-,3108445,4683162,4406579
Investments in property plant and equipment,-,-6312870,-1974402,-3282889
Sales/Maturities of investments,-,23625,16273,96715
Other investing activites,-,-233649,130731,-334886
Net cash used for investing activites,-,-6281430,-1724185,-3318347
Net change in cash,-,-5160717,7580692,258852
Cash at beginning of period,-,11487697,3907005,3648152
Cash at end of period,-,6326980,11487697,3907005
Operating Cash Flow,-,3108445,4683162,4406579
Capital Expenditure,-,-6312870,-1974402,-3282889
Free Cash Flow,-,-3204425,2708760,1123690
