Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,8764649,7252221,7060255,6943053
Liabilities,,,,
Total Liabilities,7572651,6316460,6176224,6101097
Stockholders' Equity,,,,
Common Stock,103623,90326,90326,90326
Retained Earnings,761083,701819,628107,585891
Accumulated other comprehensive income,-11670,-23107,-18427,-13784
Total stockholders' equity,1191998,935761,884031,841956
Total liabilities and stockholders' equity,8764649,7252221,7060255,6943053
