Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,93770000,114239000,147349000,102030000
Depreciation & amortization,-,163572000,154439000,140530000
Change in working capital,-,17821000,32882000,26496000
Other working capital,-,-79716000,11307000,-17341000
Other non-cash items,-,19689000,-22383000,7763000
Net cash provided by operating activites,-,296148000,316014000,237084000
Investments in property plant and equipment,-,-375864000,-304707000,-254425000
Acquisitions net,-,-,-19476000,-
Purchases of investments,-,-240849000,-191774000,-43358000
Sales/Maturities of investments,-,227529000,120724000,36983000
Other investing activites,-,-4404000,-5068000,-2156000
Net cash used for investing activites,-,-308671000,-324494000,-194651000
Net change in cash,-,-58671000,-38549000,43935000
Cash at beginning of period,-,270509000,309058000,265123000
Cash at end of period,-,211838000,270509000,309058000
Operating Cash Flow,-,296148000,316014000,237084000
Capital Expenditure,-,-375864000,-304707000,-254425000
Free Cash Flow,-,-79716000,11307000,-17341000
