Breakdown,ttm,12/31/2019
Net Income,1590443,1590443
Depreciation & amortization,509573,509573
Change in working capital,119753,119753
Other working capital,273499,273499
Other non-cash items,395864,395864
Net cash provided by operating activites,2266358,2266358
Investments in property plant and equipment,-1992859,-1992859
Purchases of investments,-701783,-701783
Sales/Maturities of investments,345014,345014
Other investing activites,356769,356769
Net cash used for investing activites,-1992859,-1992859
Net change in cash,103956,103956
Cash at beginning of period,3679341,3679341
Cash at end of period,3783297,3783297
Operating Cash Flow,2266358,2266358
Capital Expenditure,-1992859,-1992859
Free Cash Flow,273499,273499
