Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,404352,336102,215287,156240
Depreciation & amortization,-,849400,802382,754530
Change in working capital,-,-673463,-487695,-299393
Inventory,-,-309816,-122478,-218012
Other working capital,-,-1244993,-629435,-697695
Other non-cash items,-,76815,133892,46793
Net cash provided by operating activites,-,815641,936789,867995
Investments in property plant and equipment,-,-2060634,-1566224,-1565690
Acquisitions net,-,-15176,-,-
Purchases of investments,-,-648,-10271,-629
Sales/Maturities of investments,-,-,-,140855
Other investing activites,-,-60968,-66763,-261531
Net cash used for investing activites,-,-2128511,-1635829,-1672959
Net change in cash,-,1514862,-425511,19326
Cash at beginning of period,-,845667,1271179,1251852
Cash at end of period,-,2360530,845667,1271179
Operating Cash Flow,-,815641,936789,867995
Capital Expenditure,-,-2060634,-1566224,-1565690
Free Cash Flow,-,-1244993,-629435,-697695
