Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1604505,1369235,1140518,853634
Depreciation & amortization,-,484515,405126,330844
Stock based compensation,-,0,592,13983
Change in working capital,-,-1330181,-802919,24130
Inventory,-,-181478,-46643,-5437
Other working capital,-1070061,-1580669,-1456059,-506299
Other non-cash items,-,-29198,-108873,-65826
Net cash provided by operating activites,1528656,1018048,1329724,1453379
Investments in property plant and equipment,-,-2598717,-2785783,-1959678
Acquisitions net,-,-391926,-172581,-286760
Purchases of investments,-,-106007,-185619,-224297
Sales/Maturities of investments,-,0,92252,2753
Other investing activites,-,-440633,539059,-1759873
Net cash used for investing activites,-4109689,-3369803,-2166822,-3542926
Net change in cash,256654,1457509,-1891267,1840324
Cash at beginning of period,3807878,2511390,4313977,2551836
Cash at end of period,4064532,3973315,2511390,4313977
Operating Cash Flow,1528656,1018048,1329724,1453379
Capital Expenditure,-,-2598717,-2785783,-1959678
Free Cash Flow,-1070061,-1580669,-1456059,-506299
