Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,-77308,20810,182140,102789,142564
Income Before Tax,-92225,5988,166867,88946,132259
Income Tax Expense,-38728,-8546,41469,20033,34265
Income from Continuing Operations,-53497,14533,125398,68913,97994
Net Income,-53497,14533,125398,68913,97994
Net Income available to common shareholders,-53497,14533,125398,68913,97994
Basic EPS,-,0.02,0.19,0.12,0.21
Diluted EPS,-,0.02,0.19,0.12,0.21
Basic Average Shares,-,699115,649848,584844,462956
Diluted Average Shares,-,699115,649848,584844,462956
