Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3802000,2795000,2287000,4358000
Depreciation & amortization,-,1272000,1242000,1067000
Change in working capital,-,-5084000,-288000,-4842000
Other working capital,-,-3347000,-889000,-1143000
Other non-cash items,-,-12000,344000,-342000
Net cash provided by operating activites,-,-990000,2314000,1404000
Investments in property plant and equipment,-,-2357000,-3203000,-2547000
Acquisitions net,-,-,-968000,-
Purchases of investments,-,-1148000,-1340000,-3903000
Sales/Maturities of investments,-,1230000,3582000,7394000
Other investing activites,-,176000,-255000,-313000
Net cash used for investing activites,-,-2116000,-2073000,936000
Net change in cash,-,326000,681000,2925000
Cash at beginning of period,-,17615000,16934000,14009000
Cash at end of period,-,17942000,17615000,16934000
Operating Cash Flow,-,-990000,2314000,1404000
Capital Expenditure,-,-2357000,-3203000,-2547000
Free Cash Flow,-,-3347000,-889000,-1143000
