Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1614000,-290000,-630000,-3166000
Depreciation & amortization,2136000,2136000,2092000,2443000
Change in working capital,2598000,-429000,-1004000,-1875000
Inventory,1466000,-685000,-335000,18000
Other working capital,2008000,-360000,-1782000,-3101000
Other non-cash items,-715000,-757000,-334000,-215000
Net cash provided by operating activites,3189000,1602000,567000,327000
Investments in property plant and equipment,-1181000,-1962000,-2349000,-3428000
Purchases of investments,-4000,-4000,-4000,-4000
Other investing activites,2000,3000,3000,60000
Net cash used for investing activites,-2275000,-1860000,-1959000,-3252000
Net change in cash,4605000,5013000,181000,-2414000
Cash at beginning of period,4717000,3720000,3538000,5952000
Cash at end of period,9361000,8734000,3720000,3538000
Operating Cash Flow,3189000,1602000,567000,327000
Capital Expenditure,-1181000,-1962000,-2349000,-3428000
Free Cash Flow,2008000,-360000,-1782000,-3101000
