Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,250519,195576,287783,206262
Depreciation & amortization,-,381765,331577,300399
Change in working capital,-,48095,-105126,20425
Inventory,-,-13543,-16311,3431
Other working capital,-,289137,-50859,324249
Other non-cash items,-,2442,1148,-7738
Net cash provided by operating activites,-,692802,435105,581905
Investments in property plant and equipment,-,-403665,-485964,-257656
Acquisitions net,-,-,-39556,-10000
Purchases of investments,-,-231850,-,-
Sales/Maturities of investments,-,100,-,11163
Other investing activites,-,-6823,4502,-12074
Net cash used for investing activites,-,-642238,-521018,-268567
Net change in cash,-,-109127,-209514,256559
Cash at beginning of period,-,2119528,2329043,2072484
Cash at end of period,-,2010401,2119528,2329043
Operating Cash Flow,-,692802,435105,581905
Capital Expenditure,-,-403665,-485964,-257656
Free Cash Flow,-,289137,-50859,324249
