Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-,-,-39.246,-39.661
Acquisitions net,-,-,-,44.456
Other investing activites,-,-,-,-327.053
Net cash used for investing activites,-,-,-39.246,-322.258
Debt repayment,-200,-200,-,-
Common stock issued,1773,1773,1250,7460
Common stock repurchased,-133.146,-133.146,-,-1283
Other financing activites,-90.006,-90.006,-,506.093
Net cash used privided by (used for) financing activities,1550,1550,1250,6683
Net change in cash,-457.474,-457.474,-3226,3656
Cash at beginning of period,704.377,704.377,3888,347.527
Cash at end of period,260.254,260.254,704.377,3888
Capital Expenditure,-,-,-39.246,-39.661
Free Cash Flow,-2007,-2007,-4476,-2745
