Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,45186,45186,37781,32996,28872
Interest Expense,8140,8140,5106,3159,2099
Income Before Tax,9637,9637,11742,11286,8415
Income Tax Expense,2636,2636,3029,5659,3222
Income from Continuing Operations,7001,7001,8713,5627,5193
Net Income,7001,7001,8713,5627,5193
Net Income available to common shareholders,7001,7001,8713,5627,5041
Basic EPS,-,-,1.22,0.89,0.81
Diluted EPS,-,-,1.19,0.85,0.81
Basic Average Shares,-,-,7121,6299,6197
Diluted Average Shares,-,-,7318,6643,6227
